date,brent_crude_usd,usdcny,us_indpro,us_mfg_emp,us_cfnai,us_mfg_orders,china_exports_usd,us_imports_china,china_cli,us_cli,bdry_etf,wci_composite,brent_crude_usd_lr,usdcny_lr,bdry_etf_lr,wci_composite_lr,china_exports_usd_lr,us_imports_china_lr,brent_crude_usd_lag1,brent_crude_usd_lag2,usdcny_lag1,usdcny_lag2,china_cli_lag1,china_cli_lag2,us_cli_lag1,us_cli_lag2,bdry_etf_lag1,bdry_etf_lag2,wci_composite_lag1,wci_composite_lag2,brent_crude_usd_ma3,bdry_etf_ma3,wci_composite_ma3,month
2021-01-01,54.774,6.467177777777778,98.8822,12142.0,0.86,492597.0,256289200000.0,219875000000.0,102.3184,100.2878,10.17594744029798,3455,,,,,,,,,,,,,,,,,,,,,,1
2021-02-01,62.2765,6.460057894736842,95.6149,12172.0,-1.84,496279.0,285344200000.0,218234000000.0,102.2521,100.6622,12.12157896945351,3830,0.12836851875932903,-0.0011015322906191066,0.17496040864407073,0.1030423459729214,0.10738967649780189,-0.007491321449177012,54.774,,6.467177777777778,,102.3184,,100.2878,,10.17594744029798,,3455.0,,,,,2
2021-03-01,65.41,6.510860869565217,98.3856,12229.0,2.4,501773.0,256117100000.0,230641000000.0,102.0839,100.989,17.043478343797766,4000,0.049091004402793605,0.007833405718333108,0.340780378563557,0.043429557927336104,-0.10806140909153207,0.05529450747356192,62.2765,54.774,6.460057894736842,6.467177777777778,102.2521,102.3184,100.6622,100.2878,12.12157896945351,10.17594744029798,3830.0,3455.0,60.820166666666665,13.113668251183086,3761.6666666666665,3
2021-04-01,64.8065,6.518640909090909,98.5587,12193.0,0.12,505746.0,272808000000.0,228824000000.0,101.8235,101.2621,19.956666673932755,4200,-0.009269245003492393,0.0011942191777535964,0.15779562790624627,0.04879016416943204,0.06313348928345049,-0.007909239972675895,65.41,62.2765,6.510860869565217,6.460057894736842,102.0839,102.2521,100.989,100.6622,17.043478343797766,12.12157896945351,4000.0,3830.0,64.16433333333333,16.373907995728008,4010.0,4
2021-05-01,68.53421052631579,6.432049999999999,99.4333,12216.0,0.22,512022.0,267889700000.0,230651000000.0,101.4914,101.3431,24.75649995803833,4500,0.05592713736985727,-0.013372599205713867,0.21552482246886537,0.06899287148695142,-0.0181929224228521,0.00795259645837951,64.8065,65.41,6.518640909090909,6.510860869565217,101.8235,102.0839,101.2621,100.989,19.956666673932755,17.043478343797766,4200.0,4000.0,66.25023684210527,20.585548325256283,4233.333333333333,5
2021-06-01,73.1640909090909,6.425031818181818,99.7987,12247.0,0.33,522925.0,272408000000.00003,235302000000.0,101.103,101.3516,26.678636117414996,5500,0.0653716949119771,-0.0010917224630728507,0.07477502060172067,0.20067069546215124,0.016725613790066405,0.01996404991688857,68.53421052631579,64.8065,6.432049999999999,6.518640909090909,101.4914,101.8235,101.3431,101.2621,24.75649995803833,19.956666673932755,4500.0,4200.0,68.83493381180223,23.79726758312869,4733.333333333333,6
2021-07-01,75.1659090909091,6.4762571428571425,100.2519,12305.0,0.75,528954.0,270957000000.0,233888000000.0,100.6732,101.3042,25.724761872064498,6800,0.026993052359187846,0.007941159062073365,-0.036409074700437714,0.21217451994363576,-0.0053408057164163,-0.006027427186717964,73.1640909090909,68.53421052631579,6.425031818181818,6.432049999999999,101.103,101.4914,101.3516,101.3431,26.678636117414996,24.75649995803833,5500.0,4500.0,72.28807017543859,25.71996598250594,5600.0,7
2021-08-01,70.74714285714286,6.476790909090909,100.0437,12353.0,-0.04,534721.0,284514800000.0,236306000000.0,100.2236,101.2346,28.50318180431019,8100,-0.06058563954736916,8.241554141199507e-05,0.10256169829617744,0.17494144949633206,0.048825136599649634,0.010285207024068143,75.1659090909091,73.1640909090909,6.4762571428571425,6.425031818181818,100.6732,101.103,101.3042,101.3516,25.724761872064498,26.678636117414996,6800.0,5500.0,73.02571428571429,26.96885993126323,6800.0,8
2021-09-01,74.48863636363636,6.456300000000001,98.8579,12393.0,-0.14,533538.0,288426800000.0,238366000000.0,99.78837,101.1771,30.81761886959984,9200,0.051534429656311956,-0.003168759329191876,0.07807084434752372,0.12733942237660148,0.013656054281413308,0.008679732248645449,70.74714285714286,75.1659090909091,6.476790909090909,6.4762571428571425,100.2236,100.6732,101.2346,101.3042,28.50318180431019,25.724761872064498,8100.0,6800.0,73.46722943722945,28.34852084865818,8033.333333333333,9
2021-10-01,83.53809523809524,6.41721,100.1861,12453.0,0.93,546544.0,300182700000.0,242248000000.0,99.40945,101.1362,35.793809618268696,9600,0.1146561764921223,-0.006072954483906104,0.149688395117101,0.0425596144187959,0.039949961706575644,0.016154687232148014,74.48863636363636,70.74714285714286,6.456300000000001,6.476790909090909,99.78837,100.2236,101.1771,101.2346,30.81761886959984,28.50318180431019,9200.0,8100.0,76.25795815295815,31.70487009739291,8966.666666666666,10
