,actual,sarimax_pred,stacked_pred
2022-07-01,104.0,78.91232561263365,78.91232561263365
2022-08-01,104.0,73.16143342436644,73.16143342436644
2022-09-01,64.0,47.05388428257326,47.05388428257326
2022-10-01,52.0,63.400634305467506,63.400634305467506
2022-11-01,63.0,122.38529978686114,122.38529978686114
2022-12-01,53.0,47.993324954761874,47.993324954761874
2023-01-01,47.0,47.360652548328126,60.91048775340625
2023-02-01,45.0,38.899448436429466,55.673454326322044
2023-03-01,40.0,727.3082443007697,729.967279983448
2023-04-01,32.0,236.3725066540206,248.47936204647667
2023-05-01,32.0,32.82823187911297,53.810684271691095
2023-06-01,35.0,24.317709384054318,40.317198214620724
2023-07-01,35.0,43.60234476425657,-164.28754781386843
2023-08-01,32.0,73.41403151366903,-139.3032383837919
2023-09-01,32.0,34.92704516223347,-190.15889233776653
2023-10-01,32.0,20.221579028243006,-210.02826838386636
2023-11-01,39.0,20.580864861482294,-202.91745667172083
2023-12-01,39.0,38.13434742354569,-172.55809642411054
2024-01-01,43.0,72.57810844980676,58.26233925425012
2024-02-01,45.0,38.458103524022874,32.921062813573656
2024-03-01,51.0,38.385644038334625,-87.76336566625523
2024-04-01,47.0,40.71734658829568,29.685264984291777
2024-05-01,40.5,37.878162170417866,45.765720153816304
2024-06-01,47.0,42.626224068952894,42.76411393101344
2024-07-01,62.0,47.93770217475264,49.70648359832136
2025-01-01,37.0,29.006229777471464,33.9639986945552
2025-02-01,39.0,22.078505795624253,25.16966132464647
2025-03-01,37.0,27.260239726009193,18.532952433528724
2025-04-01,30.0,63.2005863428781,55.71679403788542
2025-05-01,30.0,39.7442947112541,42.50844318499372
2025-06-01,31.0,26.77369870928066,19.310155771048237
2025-07-01,31.0,34.3977537865039,26.263919901311027
2025-08-01,41.0,32.14470788314929,26.844195092469356
2025-09-01,36.0,27.666414795503787,23.693517981157473
2025-10-01,36.0,35.515887317391545,32.25383335086933
2025-11-01,29.0,35.7051204136689,31.222124903567583
2025-12-01,31.0,39.447793738091804,39.2064719061502
2026-01-01,31.0,26.96394984818181,41.66772239304265
2026-02-01,31.0,44.49096129130838,49.63001320552347
2026-03-01,31.0,62.57718486757427,55.13354606599956
