,actual,sarimax_pred,stacked_pred
2022-06-01,157.0,150.96831154830284,150.96831154830284
2022-07-01,158.0,115.55260142573285,115.55260142573285
2022-08-01,137.0,125.54988224905044,125.54988224905044
2022-09-01,119.0,98.17896951081539,98.17896951081539
2022-10-01,98.0,85.35395339427534,85.35395339427534
2022-11-01,70.0,91.75251438883002,91.75251438883002
2022-12-01,65.0,78.28895028520115,65.07305367875584
2023-01-01,57.0,78.9037748438123,72.77143441259892
2023-02-01,41.0,88.32941055166849,77.45209121573099
2023-03-01,37.0,24.134763093951015,-178.11244454765054
2023-04-01,30.0,55.82414667840562,-386.7680164075319
2023-05-01,27.0,23.378928356653308,-471.0875328249873
2023-06-01,23.0,22.813368464863697,-408.3721478925582
2023-07-01,23.0,28.548598845757528,-489.82389871283624
2023-08-01,21.0,28.384022455510358,-490.4696152398021
2023-09-01,25.0,25.080116156597015,-494.50356304262175
2023-10-01,25.0,22.446882919870216,-574.4690716699736
2023-11-01,27.0,18.2338293871139,-578.2296715894486
2023-12-01,27.0,27.24623596149689,39.77412521320588
2024-01-01,46.0,16.90082045449212,20.077707489861993
2024-02-01,46.0,45.6671725227053,42.3363505317385
2024-03-01,46.0,41.31232803828125,45.21286552912598
2024-04-01,46.0,36.86080053027785,39.2198109882704
2024-05-01,33.0,46.0658141551426,55.88408007005959
2024-06-01,33.0,34.8516143830768,31.403965619420184
2024-07-01,39.0,29.537593716875545,30.813228005663387
2024-08-01,48.0,38.43981093843577,35.80882353265879
2024-09-01,71.0,49.534532067146145,52.14340066608413
2024-10-01,62.0,77.24308299484649,69.42993783417144
2024-11-01,66.0,54.63872965695853,42.86595591428275
2024-12-01,54.0,64.72736131557703,53.74551736721277
2025-01-01,54.0,92.11221336073183,79.13808654493593
2025-02-01,46.0,50.00623428371521,45.706749077111205
2025-03-01,41.0,42.167357909607574,36.76222943060367
2025-04-01,32.0,37.866765255366275,32.17790579262824
2025-05-01,32.0,24.18317618092519,27.70497145375234
2025-06-01,40.0,39.977890449856716,37.896708923672634
2025-07-01,30.0,47.937011112113765,48.960644830604366
2025-08-01,32.0,33.76426763854973,37.16994066558831
2025-09-01,42.0,52.396679701917506,54.83304530631814
2025-10-01,43.0,34.98134339223944,42.109549645291196
2025-11-01,40.0,55.160709786459705,58.23725407128026
2025-12-01,40.0,34.19251419118616,36.31435514501307
2026-01-01,41.0,48.627439888166975,53.7157911378618
2026-02-01,41.0,36.25389196749966,39.471359752381254
2026-03-01,37.0,58.78581901280977,53.95850797383882
