,actual,sarimax_pred,stacked_pred
2022-06-01,149.0,127.32785125374681,127.32785125374681
2022-07-01,149.0,118.99004670664847,118.99004670664847
2022-08-01,137.0,133.41280345806553,133.41280345806553
2022-09-01,119.0,138.52264409641555,138.52264409641555
2022-10-01,98.0,90.93288041004196,90.93288041004196
2022-11-01,70.0,137.12026237067002,137.12026237067002
2022-12-01,65.0,142.80057510532075,75.91153701938325
2023-01-01,57.0,113.6573862894971,62.83307980145999
2023-02-01,41.0,98.80097130094376,96.23657491956558
2023-03-01,37.0,60.28308698678637,-134.1206147954402
2023-04-01,30.0,50.87208672609614,-2915.5175617114037
2023-05-01,27.0,49.63614299597703,-2916.185146066523
2023-06-01,23.0,32.457529724441905,-3223.446034728683
2023-07-01,23.0,28.484290425373477,-3305.6211783246267
2023-08-01,21.0,25.84962233207047,-3322.2438835273047
2023-09-01,25.0,24.566944272947296,-3323.5265615864278
2023-10-01,25.0,20.797911497051146,-3687.0702525654488
2023-11-01,27.0,16.999088038010488,-3690.8690760244895
2023-12-01,27.0,16.254038725973157,10.12615338432887
2024-01-01,46.0,14.603400664258851,89.8877634572276
2024-02-01,46.0,14.118808356150083,48.71995505414813
2024-03-01,46.0,24.44793140560622,31.217092629971454
2024-04-01,46.0,26.84406025013613,41.88321907124209
2024-05-01,33.0,32.568484121218226,21.564239316835902
2024-06-01,33.0,39.2886835235284,-0.6421369415594924
2024-07-01,39.0,34.1820202241652,0.11362270219254356
2024-08-01,48.0,34.40711590914556,-4.0977325710790495
2024-09-01,71.0,47.567245852823014,9.74999655472731
2024-10-01,62.0,55.12680409626149,17.125671131173597
2024-11-01,66.0,58.52834980899899,56.471991710015224
2024-12-01,54.0,51.05405002900459,47.57606083222725
2025-01-01,54.0,96.20835125492678,84.28078186558352
2025-02-01,46.0,92.17643446763742,88.69512696107614
2025-03-01,41.0,65.13092363883985,39.61987246086133
2025-04-01,32.0,51.241439499884244,37.84330049994528
2025-05-01,32.0,32.928046557119146,24.78105196635987
2025-06-01,35.0,29.71518845568184,17.80240006456856
2025-07-01,30.0,40.28783239043285,35.88513005888988
2025-08-01,32.0,46.61828311130625,46.175420988055286
2025-09-01,42.0,56.98686814274519,53.35782241787641
2025-10-01,43.0,44.95880936244548,46.16648970702708
2025-11-01,40.0,48.16553710287082,47.70543397849071
2025-12-01,40.0,45.077736290104966,36.631420524724106
2026-01-01,41.0,43.71769962684211,37.26093492881355
2026-02-01,41.0,38.678027701729405,53.51100213562833
2026-03-01,37.0,35.07088783585599,50.6249888261514
