,actual,sarimax_pred,stacked_pred
2022-06-01,152.0,144.94341397872415,144.94341397872415
2022-07-01,159.0,122.6266554164801,122.6266554164801
2022-08-01,140.0,117.98820966487524,117.98820966487524
2022-09-01,129.0,118.70806020091065,118.70806020091065
2022-10-01,98.0,91.37616041552013,91.37616041552013
2022-11-01,70.0,98.98668791585968,98.98668791585968
2022-12-01,65.0,114.08305932169841,90.94982529765056
2023-01-01,57.0,121.66082133382329,103.54013766377935
2023-02-01,41.0,154.99697525429636,130.64008934426218
2023-03-01,37.0,80.22413656953282,32.150696017775005
2023-04-01,30.0,60.03363414513865,-89.54096607458791
2023-05-01,27.0,52.94885684792665,-115.89794490988585
2023-06-01,23.0,32.61432066235368,-104.50144777026351
2023-07-01,23.0,33.46298940393532,-109.33194772985374
2023-08-01,21.0,31.996456168044183,-113.38354871476832
2023-09-01,25.0,32.57349284619744,-112.23900715380256
2023-10-01,25.0,22.38901405639249,-120.91185874634189
2023-11-01,27.0,15.94654044945885,-122.00238838354896
2023-12-01,27.0,15.7126768088193,22.615193650707727
2024-01-01,32.0,12.689334337413726,19.718562071025787
2024-02-01,46.0,11.78512750127191,26.54756532170648
2024-03-01,46.0,15.810290107962695,27.935658226248826
2024-04-01,41.0,18.87309869615263,31.396410311142866
2024-05-01,29.0,25.795480201091053,39.4831108544724
2024-06-01,31.0,33.686861382403315,39.824925766863764
2024-07-01,39.0,28.384155709720282,36.0026754927403
2024-08-01,48.0,27.506260362785323,31.13662668816374
2024-09-01,71.0,35.873455029432435,39.820012312833924
2024-10-01,62.0,43.7951641711952,36.46632010076063
2024-11-01,66.0,52.55792308182048,44.83249736160564
2024-12-01,54.0,52.58061465355919,61.800957289667586
2025-01-01,54.0,74.42410009659179,78.22229283607848
2025-02-01,46.0,100.97056313315953,102.45525630275334
2025-03-01,41.0,88.31787914348922,88.72444656802497
2025-04-01,32.0,55.23441426306195,57.36912648230023
2025-05-01,32.0,32.83599899336841,36.3108401112273
2025-06-01,37.0,33.11909615148931,38.86775051702886
2025-07-01,30.0,48.26989966472026,54.981272040208545
2025-08-01,32.0,56.48552494627133,55.20162540060178
2025-09-01,42.0,69.92061975954405,71.17674509046904
2025-10-01,43.0,52.53492626736437,62.845972867706166
2025-11-01,40.0,52.28919095153717,61.77596634979157
2025-12-01,40.0,45.98264620835064,38.36872456604717
2026-01-01,41.0,45.572156647874415,42.83183930320889
2026-02-01,41.0,40.00244798654399,42.348892593325
2026-03-01,37.0,41.11122475126908,49.16810856321976
