,actual,sarimax_pred,stacked_pred
2022-07-01,149.0,127.65896593596302,127.65896593596302
2022-08-01,137.0,172.64196067775706,172.64196067775706
2022-09-01,119.0,94.74587458402739,94.74587458402739
2022-10-01,98.0,107.21126810358068,107.21126810358068
2022-11-01,70.0,95.39617540008769,95.39617540008769
2022-12-01,65.0,115.31488743111622,115.31488743111622
2023-01-01,57.0,65.53321688994129,19.74854510649402
2023-02-01,41.0,36.60226725231394,-0.4865694176079316
2023-03-01,37.0,50.2813582143899,13.245053740512944
2023-04-01,30.0,30.35556371370471,-58973.5624050363
2023-05-01,27.0,38.98363551553565,-62970.977301984465
2023-06-01,23.0,19.168680180736974,-62990.10475731926
2023-07-01,23.0,26.791632925590637,-76065.9036795744
2023-08-01,21.0,18.017004398967973,-76074.67830810104
2023-09-01,25.0,22.136764502945066,-76070.55854799706
2023-10-01,25.0,28.4785490911476,-76064.21676340885
2023-11-01,27.0,18.56790739235698,-76074.12740510765
2023-12-01,28.0,30.293778497399952,-76350.7765340026
2024-01-01,32.0,18.25104859423523,-1.1690697376739507
2024-02-01,46.0,40.16464972400497,40.75028723382781
2024-03-01,46.0,44.378990834979035,42.37478370073221
2024-04-01,46.0,35.673865941820246,-226.94652590388287
2024-05-01,33.0,57.967812687133936,48.84864154455581
2024-06-01,33.0,20.027497689429474,1032.959504525367
2024-07-01,39.0,56.52612881875203,147.13248257851765
2024-08-01,48.0,31.42252373001806,123.79845451615087
2024-09-01,71.0,105.32350142019837,109.29798300283997
2024-10-01,62.0,44.49150274490865,880.5900134870961
2024-11-01,66.0,68.10777325206654,28.910126157339974
2024-12-01,54.0,46.11090423382457,692.8839144877309
2025-01-01,54.0,67.88694079482374,-46.835471314551256
2025-02-01,46.0,66.1055364096055,59.377520033110144
2025-03-01,41.0,35.51189730215881,-83.15145566414978
2025-04-01,32.0,52.350080954341095,-25.447282326908905
2025-05-01,32.0,15.49432266843572,-101.51814376222835
2025-06-01,35.0,62.87292878312712,-244.21956999616975
2025-07-01,30.0,25.164193548829616,-15.920637688963353
2025-08-01,32.0,42.306585252365174,8.107725083908143
2025-09-01,42.0,34.225684210343815,0.026824041886783334
2025-10-01,43.0,49.399725467533884,19.10308507141572
2025-11-01,40.0,47.33418216950982,17.03754177339166
2025-12-01,40.0,35.25500589064362,21.66368776015046
2026-01-01,41.0,51.13595846886007,131.40653494591083
2026-02-01,41.0,29.233388143907348,27.59772797239856
2026-03-01,37.0,36.01137861305975,34.37571844155096
