,actual,sarimax_pred,stacked_pred
2022-06-01,157.0,149.55379440987804,149.55379440987804
2022-07-01,156.0,115.72311667547338,115.72311667547338
2022-08-01,137.0,129.2509042810654,129.2509042810654
2022-09-01,119.0,97.12543667844513,97.12543667844513
2022-10-01,98.0,44.7707108257701,44.7707108257701
2022-11-01,70.0,96.61705985416789,96.61705985416789
2022-12-01,65.0,136.3348087527708,119.0144428470091
2023-01-01,57.0,131.89993912178932,-620.3388914446169
2023-02-01,41.0,61.41718011135088,-696.3280591464617
2023-03-01,37.0,34.017768435607685,-319070.5134815644
2023-04-01,30.0,49.02291457635992,-340579.63333542366
2023-05-01,27.0,48.386506817833855,-340582.5197431822
2023-06-01,23.0,23.576835610594884,-319035.8919143894
2023-07-01,23.0,25.15337670870125,-427823.9403732913
2023-08-01,21.0,26.186060343955575,-427822.9076896561
2023-09-01,25.0,30.817980725830374,-427818.27576927416
2023-10-01,25.0,27.10498008886545,-427821.9887699111
2023-11-01,27.0,20.287832800032785,-427828.8059172
2023-12-01,28.0,17.604580929113972,9.562487652136433
2024-01-01,32.0,13.411076336677795,5.3689830597002555
2024-02-01,46.0,16.929273888071027,18.678841873605695
2024-03-01,46.0,29.82778953930903,21.78569626233149
2024-04-01,46.0,30.68126920629857,22.63917592932103
2024-05-01,33.0,40.57016140568833,-2925.2750534380616
2024-06-01,33.0,45.155978416063085,10242.683322166064
2024-07-01,39.0,36.509575660432645,10234.036919410433
2024-08-01,48.0,39.96961383383602,10270.223520083837
2024-09-01,71.0,56.07963463212867,10061.68900963213
2024-10-01,62.0,64.93669632901614,13282.924977579016
2024-11-01,66.0,54.789535002884385,651.0450281669468
2024-12-01,54.0,47.29138221230642,-145.04363976034983
2025-01-01,54.0,62.84840623697868,466.82164232096306
2025-02-01,46.0,84.90317971914746,76.3096643230293
2025-03-01,41.0,65.48497330415917,-126.85004866849708
2025-04-01,32.0,43.52959773179935,-576.871586350232
2025-05-01,32.0,30.146870335613343,-762.3809006604804
2025-06-01,35.0,34.46220578159833,-139.34957705531573
2025-07-01,30.0,42.946732290614975,32.153339155544174
2025-08-01,32.0,38.674336607087255,-407.71689874447526
2025-09-01,42.0,50.11987005911447,-625.3966094330731
2025-10-01,43.0,40.37801156881439,-561.6967564975919
2025-11-01,40.0,52.22457889098288,-483.74362179261084
2025-12-01,40.0,49.496607038466735,-473.0992181568458
2026-01-01,41.0,49.7408126536801,-472.8550125416324
2026-02-01,41.0,42.786415805595006,42.648679172175015
2026-03-01,37.0,46.731820590047484,46.59408395662749
