,actual,sarimax_pred,stacked_pred
2022-08-01,30.0,49.61399374681596,49.61399374681596
2022-09-01,25.0,25.84639079796061,25.84639079796061
2022-10-01,25.0,19.055108458711974,19.055108458711974
2022-11-01,25.0,20.09015293682277,20.09015293682277
2022-12-01,22.0,26.827146231499896,26.827146231499896
2023-01-01,22.0,19.504027008281962,19.504027008281962
2023-02-01,22.0,18.166781372059987,34.076014465321705
2023-03-01,19.0,13.500941916094416,29.192437811480158
2023-04-01,19.0,17.0055800832106,-657.0857285105394
2023-05-01,19.0,22.451747194829956,-652.3039901098575
2023-06-01,19.0,18.265283922517046,-668.542577405608
2023-07-01,18.0,15.776953792447424,-671.0309075356776
2023-08-01,18.0,12.656572684962203,-675.0614448931628
2023-09-01,18.0,14.724024184476885,-671.3969474952106
2023-10-01,17.0,24.506457883231725,-662.5315059839558
2023-11-01,17.0,19.187213679458235,-667.8414728439793
2023-12-01,17.0,13.908543999177262,-673.6982675242602
2024-01-01,17.0,18.34107289210785,-668.1071692953922
2024-02-01,17.0,18.14448645138893,17.894934484602544
2024-03-01,17.0,15.092891503514322,16.943227101506267
2024-04-01,16.0,19.1289735473306,19.2465100548775
2024-05-01,13.0,17.373190487864345,18.713812555315823
2024-06-01,13.0,12.658395805529032,17.61372713106004
2024-07-01,13.0,12.384332307068572,15.722220309464202
2024-08-01,13.0,14.04456443482989,14.297241845670879
2024-09-01,13.0,14.016588940935868,14.952940597849626
2024-10-01,13.0,9.913345814476347,14.6540861137012
2024-11-01,13.0,10.945917116079013,13.965049253377597
2024-12-01,13.0,11.311117776436731,15.64299023966305
2025-01-01,13.0,13.672131033378013,16.002800913291345
2025-02-01,13.0,15.064045910143538,15.785477642321272
2025-03-01,13.0,13.953969728342804,16.71442414461783
2025-04-01,12.0,13.545553215468248,16.59934306951793
2025-05-01,12.0,9.321558476364892,-688.2164664259789
2025-06-01,14.0,12.394582665993187,-686.3257542480693
2025-07-01,14.0,16.51066248139963,-682.5706363467253
2025-08-01,14.0,15.051837294008461,14.028677432443825
2025-09-01,14.0,13.932337622433815,14.329258929282341
2025-10-01,14.0,16.206735848425964,16.427080660103897
2025-11-01,14.0,15.09736526695323,15.351946599159955
2025-12-01,14.0,15.12056361107967,30.086392506648515
2026-01-01,14.0,13.82700393881996,28.14432857718666
2026-02-01,14.0,13.148362142719815,14.797453267254422
2026-03-01,14.0,9.902870436840228,13.614274760418109
