,actual,sarimax_pred,stacked_pred
2022-06-01,192.0,295.81709964579176,295.81709964579176
2022-07-01,193.0,200.46958762246044,200.46958762246044
2022-08-01,176.0,128.63073583390718,128.63073583390718
2022-09-01,155.0,108.57870167700992,108.57870167700992
2022-10-01,116.0,48.39864051257163,48.39864051257163
2022-11-01,46.0,46.52791435491787,46.52791435491787
2022-12-01,44.0,44.69746806119666,21.388736982095097
2023-01-01,44.0,30.653240349876036,12.557745125877013
2023-02-01,42.0,115.68995909593673,158.59079222581954
2023-03-01,38.0,31.347034418241602,11.796533548490626
2023-04-01,38.0,27.498957245338314,3.7537046360853843
2023-05-01,38.0,26.856330358669364,45.05693956582269
2023-06-01,37.0,8.65660251086539,9.831000098641574
2023-07-01,37.0,18.808278730503915,27.19404571353614
2023-08-01,46.0,65.01957491561093,82.52508524581113
2023-09-01,39.0,170.27046339952955,194.5762533470393
2023-10-01,32.0,106.97906120670979,131.08566864384358
2023-11-01,38.0,20.702181676456114,28.79241643292584
2023-12-01,42.0,14.234633978359666,12.59460502480742
2024-01-01,121.0,10.474713021671564,-30.152243918025704
2024-02-01,97.0,11.256392851628986,32.41519297675106
2024-03-01,86.0,36.95976528109723,46.233960952178776
2024-05-01,99.0,38.184202592367164,58.991604249471656
2024-06-01,127.0,65.37529585546483,57.14728090948094
2024-07-01,167.0,122.92672667701258,134.7679894943954
2024-08-01,167.0,87.08793232766773,135.59387944070482
2024-09-01,167.0,61.34223904968471,109.48577847839564
2024-10-01,79.0,45.19143403634401,99.50992692574832
2024-11-01,94.0,62.2791304365969,99.74449680012229
2024-12-01,114.0,106.44787236300878,139.59595891086036
2025-01-01,114.0,242.2076192567975,258.40060288411684
2025-02-01,72.0,999.2737935393052,977.7165139525132
2025-03-01,86.0,613.4579461914806,613.2261835736541
2025-04-01,53.0,137.26651440897896,124.10265885630562
2025-05-01,50.0,114.69474674580088,110.85172273037425
2025-06-01,62.0,186.1356455205111,144.8991419194369
2025-07-01,65.0,231.4263544707468,177.7396746306589
2025-08-01,68.0,137.74736104847972,138.04105506779734
2025-09-01,58.0,136.45013757581668,143.34437175626712
2025-10-01,43.0,49.93051821239381,83.70379549510865
2025-11-01,48.0,41.546450522540724,58.48777475654951
2025-12-01,57.0,53.1627360661981,89.96638215384459
2026-01-01,63.0,63.35290940887975,60.806164108586785
2026-02-01,52.0,49.38086541406848,70.31159623377063
2026-03-01,50.0,310.7594874700508,181.3128627141914
