,actual,sarimax_pred,stacked_pred
2022-07-01,76.0,50.29864871851949,50.29864871851949
2022-08-01,71.0,106.9027316998271,106.9027316998271
2022-10-01,35.0,24.251057967821005,24.251057967821005
2022-11-01,37.0,40.40719683377411,40.40719683377411
2022-12-01,41.0,31.597199795202805,31.597199795202805
2023-01-01,34.0,83.89322812780934,83.89322812780934
2023-02-01,28.0,25.893071596685598,3645.688725893561
2023-03-01,30.0,52.73519534159069,-10608.393710908409
2023-04-01,28.0,4.529618203307706,-11346.778975546693
2023-05-01,28.0,41.906115130392536,-10938.187634869608
2023-06-01,28.0,13.031117531359696,-10908.50989809364
2023-07-01,33.0,35.3035074757657,-9632.490437836734
2023-08-01,29.0,39.52991876547938,3579.5157586092296
2023-09-01,30.0,53.354262074877,3593.340101918627
2023-10-01,31.0,20.5355893963012,4772.5580503338015
2023-11-01,35.0,39.450956548388376,8263.407011235888
2023-12-01,32.0,30.03197645694154,6776.524652238191
2024-01-01,34.0,26.448847599208037,7984.978144474208
2024-02-01,31.0,35.33711618458077,8853.64375680958
2024-03-01,35.0,39.62325356503636,6772.241417627536
2024-04-01,33.0,28.749306996374496,7334.367471058875
2024-05-01,28.0,38.176653281079936,6201.62684859358
2024-06-01,31.0,27.79004419813594,65.60336054335079
2024-07-01,75.0,43.059262070352744,80.87257841556759
2024-08-01,60.0,62.36770599135152,6221.759307553852
2024-09-01,53.0,47.58430700758738,-1897.0826851799127
2024-10-01,28.0,64.33056516325742,1989.279173561695
2024-11-01,33.0,25.220015411239157,-2706.8109904481357
2024-12-01,49.0,31.74406957759079,-40.379694460495145
2025-01-01,33.0,49.38627916689587,1974.3348875653335
2025-02-01,32.0,22.702008959050318,237.22694182037844
2025-03-01,28.0,37.991753254659315,-1009.5481637375282
2025-04-01,26.0,16.667768284396857,3373.493940159397
2025-05-01,26.0,34.11781674828362,-2738.3082086423415
2025-06-01,31.0,30.791027716557736,-4513.640612908443
2025-07-01,32.0,69.90716450253674,1654.7266225103492
2025-08-01,32.0,19.19806349765914,1352.8244062710967
2025-09-01,37.0,41.213814086934775,1374.8401568603722
2025-10-01,31.0,14.573218463660483,8863.38571846366
2025-11-01,31.0,54.48652830298245,9519.071489240483
2025-12-01,28.0,40.503358409388746,1374.1297011828262
2026-01-01,28.0,22.041990144992965,1355.6683329184305
2026-02-01,27.0,35.20605073436819,-186.52029814258492
2026-03-01,27.0,57.74040473329116,-163.98594414366198
