,actual,sarimax_pred,stacked_pred
2022-07-01,268.0,317.77429717641513,317.77429717641513
2022-08-01,268.0,245.30486047525199,245.30486047525199
2022-09-01,256.0,241.25979192536252,241.25979192536252
2022-10-01,232.0,298.101675735919,298.101675735919
2022-11-01,232.0,278.6604153101985,278.6604153101985
2022-12-01,164.0,195.3620872532689,195.3620872532689
2023-01-01,148.0,173.15034329659343,34.077543613976246
2023-02-01,146.0,172.30310360212312,28.97934261579499
2023-03-01,116.0,218.78534483459785,149.54740690735176
2023-04-01,125.0,130.17552141816896,63.25195269258302
2023-05-01,125.0,104.8901700560781,-70.84006981208596
2023-06-01,139.0,140.2222395110427,-40.142277700871375
2023-07-01,133.0,145.96231370381108,62.28183274677983
2023-08-01,133.0,156.86214043793342,88.06839348969123
2023-09-01,131.0,128.69657424695956,-18.19391342393888
2023-10-01,117.0,113.70386161613447,-41.7314106006624
2023-11-01,119.0,111.01429307681826,-39.68935072200986
2023-12-01,119.0,94.18011791037736,24.03661662863908
2024-01-01,127.0,125.65415524398807,133.07717274581913
2024-02-01,127.0,123.84054665756379,138.12590604019317
2024-03-01,128.0,102.35331411679257,93.36827440579404
2024-04-01,120.0,135.47218026860088,143.79941549046367
2024-05-01,146.0,115.90749986740977,132.77434785935313
2024-06-01,207.0,153.75187176919326,164.03029793954238
2024-07-01,195.0,199.250801707083,199.630129123503
2024-08-01,177.0,167.2147605131798,182.7105042647057
2024-09-01,147.0,158.9981669919452,155.1325425641498
2024-10-01,125.0,126.96031590550857,131.89186926930861
2024-11-01,133.0,135.83774089548018,151.12436580392745
2024-12-01,133.0,126.49797554063105,149.8388511662414
2025-01-01,133.0,138.56816973218406,152.99097265729392
2025-02-01,113.0,124.23208230049383,120.54737823517095
2025-03-01,109.0,106.78206734617478,112.89688353498704
2025-04-01,101.0,104.08566773542087,122.44083130963962
2025-05-01,109.0,123.4597861217096,130.45099562869814
2025-06-01,122.0,155.8253890029957,161.91375360413096
2025-07-01,130.0,118.17648907973268,112.11895963026979
2025-08-01,134.0,132.61103936358953,124.09847565814519
2025-09-01,122.0,114.02065234918165,107.26893192071485
2025-10-01,106.0,104.60728627460844,99.92846709507353
2025-11-01,106.0,111.35003211321587,111.42375529529805
2025-12-01,102.0,105.92719187899509,106.18758469386974
2026-01-01,98.0,96.89857672205184,105.40548990717147
2026-02-01,98.0,90.49546822293496,109.67621239407754
2026-03-01,114.0,100.94325453433984,99.56864840183252
