,actual,sarimax_pred,stacked_pred
2022-06-01,199.0,217.04118922386715,217.04118922386715
2022-07-01,198.0,165.42101395844935,165.42101395844935
2022-08-01,180.0,191.88418774380463,191.88418774380463
2022-09-01,161.0,255.05986129454425,255.05986129454425
2022-10-01,100.0,90.68892888065409,90.68892888065409
2022-11-01,54.0,107.01335928370524,107.01335928370524
2022-12-01,50.0,39.729322763284344,2.3214019258820002
2023-01-01,50.0,28.152929752709017,-10.045403987525358
2023-02-01,48.0,246.4360573821297,221.6999733977547
2023-03-01,41.0,17.54659240288002,-12.668220829541855
2023-04-01,40.0,22.26311429911115,-15.917854939170098
2023-05-01,40.0,48.329952256034616,14.944828049491647
2023-06-01,39.0,12.52812797367587,28.066467588544036
2023-07-01,39.0,59.73202846522737,76.58498905177522
2023-08-01,43.0,83.02477290879457,106.60923602830141
2023-09-01,39.0,81.594867346626,89.80707895551272
2023-10-01,36.0,26.791829698056254,21.90843497988609
2023-11-01,40.0,11.812970906574122,25.135402470905177
2023-12-01,43.0,36.6229188379547,62.548534148623645
2024-01-01,115.0,23.249537513859494,50.20277695477746
2024-02-01,105.0,62.51382808919029,75.87663536305504
2024-03-01,99.0,184.12967721453538,193.94662991991868
2024-04-01,83.0,69.25976149019799,79.96010748323998
2024-05-01,84.5,117.4956753612416,123.39595965155532
2024-06-01,118.0,126.65331171142081,89.35553644286612
2024-07-01,158.0,67.0886658941557,92.89984028685589
2024-08-01,156.0,110.05731856066615,94.44624792773158
2024-09-01,140.0,94.69467060592152,140.4402341130016
2024-10-01,71.0,119.13347598781691,148.12608691921338
2024-11-01,86.0,142.26227918576268,157.52828088711766
2024-12-01,105.0,115.93167373823223,70.45057174848614
2025-01-01,105.0,524.7283326828401,406.50013749241043
2025-02-01,67.0,149.352563554249,90.7062241377451
2025-03-01,64.0,49.272897381498815,20.887609142973425
2025-04-01,45.0,37.84480573256021,19.934813514542633
2025-05-01,42.0,43.66311886063845,18.45361950150759
2025-06-01,60.0,92.39647631669416,82.9479976179637
2025-07-01,65.0,108.39587883522088,86.1630106406408
2025-08-01,63.0,56.21385354145847,63.56418198689304
2025-09-01,53.0,66.65018945145387,67.0223449985959
2025-10-01,40.0,28.29271478826343,45.51371545965015
2025-11-01,49.0,35.2846679095851,48.74101251407729
2025-12-01,53.0,64.17895182736319,71.98896226056021
2026-01-01,61.0,63.12477035555716,75.02946968111868
2026-02-01,54.0,42.99845608858934,76.42270383028855
2026-03-01,51.0,145.4082015613778,122.46466671030359
