,actual,sarimax_pred,stacked_pred
2022-07-01,145.0,96.70463653101243,96.70463653101243
2022-08-01,151.0,150.62554470286236,150.62554470286236
2022-09-01,109.0,86.3528321695925,86.3528321695925
2022-10-01,77.0,88.2686785208864,88.2686785208864
2022-11-01,86.0,122.0220608107263,122.0220608107263
2022-12-01,62.0,70.2729658217744,70.2729658217744
2023-01-01,52.0,72.92181017966004,-166.19888684182433
2023-02-01,52.0,55.67115930588338,-781.7725052448978
2023-03-01,47.0,111.72378846325535,-895.9946563609634
2023-04-01,48.0,71.29849939295929,-928.405663204697
2023-05-01,50.0,27.401300696783704,-972.0867974477476
2023-06-01,48.0,41.097125754847816,-958.3909723896834
2023-07-01,48.0,75.69754383683097,64.46225998520744
2023-08-01,43.0,75.32690221629575,23.211900537828953
2023-09-01,43.0,43.966233052522135,7.419552602082682
2023-10-01,41.0,29.436644105732373,-21.99531695383794
2023-11-01,50.0,37.77334215788199,-26.110248540360196
2023-12-01,48.0,38.03042479732944,-5.411038673129546
2024-01-01,56.0,44.30373649301292,-147.88715095815894
2024-02-01,58.0,48.42006689455868,-110.70798486325381
2024-03-01,64.0,58.589953101248994,13.721716559500948
2024-04-01,61.0,65.16805148461366,26.946333650141
2024-05-01,46.0,64.95620458000344,23.894734548265163
2024-06-01,56.0,51.99601606834771,-93.73541398536324
2024-07-01,80.0,54.466039836339945,54.204387128286356
2024-08-01,100.0,58.94426992537418,60.07456675173679
2024-09-01,62.0,80.11837973391039,80.42541824971659
2024-10-01,44.0,69.83619298724761,68.6961546161615
2024-11-01,35.0,54.124636103387665,58.558813502069306
2024-12-01,39.0,33.477300076723,35.92619791531553
2025-01-01,39.0,41.0395135417758,50.129519416409586
2025-02-01,33.0,42.12266924033517,51.46217348227853
2025-03-01,48.0,32.592323945973405,40.44993274113942
2025-04-01,38.0,38.90467970886545,44.218072824862766
2025-05-01,38.0,34.87043136215167,41.33092778778033
2025-06-01,41.0,45.3670154814856,45.501600146784064
2025-07-01,46.0,62.08076124404228,63.295236994965435
2025-08-01,48.0,62.91793344544317,63.22182647513296
2025-09-01,45.0,33.38524661263249,40.786926128471116
2025-10-01,37.0,26.74542835329477,32.035757809624116
2025-11-01,34.0,32.45281646022977,32.590421099163905
2025-12-01,34.0,40.74622608882227,43.680940882981204
2026-01-01,38.0,33.63774426993132,41.26863797720671
2026-02-01,36.0,37.889751562818866,48.31212628816066
2026-03-01,36.0,83.75916174028787,71.43197229479226
