,actual,sarimax_pred,stacked_pred
2022-07-01,31.0,27.4565795096214,27.4565795096214
2022-08-01,27.0,30.87289422778082,30.87289422778082
2022-09-01,27.0,30.40671606864327,30.40671606864327
2022-10-01,26.0,28.92921826897261,28.92921826897261
2022-11-01,18.0,28.200884381506377,28.200884381506377
2022-12-01,20.0,22.973147312116392,22.973147312116392
2023-01-01,20.0,13.245391133632083,15.143502715434451
2023-02-01,20.0,43.088916990741346,44.72097966431007
2023-03-01,18.0,22.406847405280622,24.24635987266496
2023-04-01,18.0,22.769726355799246,27.139506896265555
2023-05-01,18.0,11.628299747684668,12.226803635338019
2023-06-01,18.0,12.318024171781296,12.948157621812577
2023-07-01,18.0,23.36171198959046,17.745913993069465
2023-08-01,18.0,16.886464668666452,16.47131110564384
2023-09-01,18.0,22.465876265252067,15.520856543267204
2023-10-01,18.0,18.30742598159359,17.285619026256065
2023-11-01,18.0,10.438710366302677,10.069149379545399
2023-12-01,17.0,14.981848179186949,19.771981178607113
2024-01-01,17.0,27.185173746614186,26.270857748059957
2024-02-01,17.0,13.780258048861919,20.742246974795755
2024-03-01,17.0,19.46066682858534,21.198295884562206
2024-04-01,17.0,13.872177130367861,19.94319773354779
2024-05-01,16.0,18.870589778746346,21.52765087875245
2024-06-01,15.0,16.494834149809332,20.58946582171485
2024-07-01,15.0,16.138099695744817,17.914567376675908
2024-08-01,15.0,13.128913544748173,16.103567742441044
2024-09-01,15.0,12.729836071375269,15.418612564447779
2024-10-01,15.0,14.354324052700042,14.26194364077711
2024-11-01,15.0,16.233655607480078,16.72645286299613
2024-12-01,15.0,13.840385388709079,16.122995566702855
2025-01-01,15.0,13.930691549947223,13.753561804463825
2025-02-01,16.0,14.896452797896336,16.77787364865012
2025-03-01,15.0,12.7760559573038,15.537510539518156
2025-04-01,15.0,16.160895297566,14.98482484582955
2025-05-01,15.0,12.84433243054369,15.400562975587635
2025-06-01,19.0,15.734384155783223,16.81804082444625
2025-07-01,16.0,13.859181141450938,16.444915270402966
2025-08-01,16.0,23.534352702078326,20.267328900274737
2025-09-01,16.0,13.839672171095879,16.162650190810233
2025-10-01,16.0,18.474361809788444,16.715238603649833
2025-11-01,16.0,14.39407718528917,16.187031153337266
2025-12-01,16.0,18.02177599750474,16.92696718059495
2026-01-01,16.0,15.150687435073694,16.62166188041671
2026-02-01,16.0,18.88261048513788,15.966800615371646
2026-03-01,16.0,21.778424764874817,20.093861008885742
