,actual,sarimax_pred,stacked_pred
2022-08-01,134.0,116.3814666865897,116.3814666865897
2022-09-01,113.0,87.98563693949036,87.98563693949036
2022-10-01,65.0,108.58184123550211,108.58184123550211
2022-11-01,48.0,100.95965339052788,100.95965339052788
2022-12-01,51.0,13.723109423815709,13.723109423815709
2023-01-01,51.0,20.945663129100453,20.945663129100453
2023-02-01,48.0,74.96180672306127,114.23946327823705
2023-03-01,46.0,391.6740163252038,370.7976449415368
2023-04-01,58.0,212.90446351698589,188.12746499708842
2023-05-01,58.0,16.63848553862717,79.45641003813888
2023-06-01,51.0,13.946577440498775,80.9698013174519
2023-07-01,58.0,93.75778833979099,153.9723192846152
2023-08-01,69.0,170.98790070650523,116.52818390963023
2023-09-01,66.0,150.58081953714617,85.47852461527117
2023-10-01,63.0,24.939946427406763,39.774886384071806
2023-11-01,61.0,16.756260338389406,32.93803066309644
2023-12-01,61.0,89.80436211968862,94.96536475564443
2024-01-01,117.0,99.61845605596137,96.69969027265144
2024-02-01,125.0,95.54962070462896,105.25661285398199
2024-03-01,119.0,168.66485407808742,164.16316416719874
2024-04-01,95.0,161.921504162577,141.68627085569224
2024-05-01,96.25,101.74754015422452,88.90451208568204
2024-06-01,126.0,68.67326507281236,109.55425033282212
2024-07-01,167.0,92.74180200510523,103.10453584604761
2024-08-01,138.0,78.60112444848602,128.27505938500946
2024-09-01,179.0,41.971823017523626,120.68756703607832
2024-10-01,115.0,147.61491628453183,124.74066205784726
2024-11-01,115.0,336.3632062738325,302.040158635893
2024-12-01,96.0,250.29079893173827,193.04133298935545
2025-01-01,96.0,307.5008221204091,258.3063221509267
2025-02-01,114.0,86.86860403057851,103.74792417523183
2025-03-01,69.0,61.214348921245396,120.08260835117704
2025-04-01,71.0,37.66167655856468,94.1806394186721
2025-05-01,68.0,56.36314454933139,114.03728166480991
2025-06-01,129.0,143.49756596752877,68.15766881176705
2025-07-01,69.0,128.15921448049107,62.79970215138951
2025-08-01,61.0,92.96331296859965,91.13397990165934
2025-09-01,69.0,114.4880379895298,78.55139629641457
2025-10-01,51.0,39.29080939968408,87.09730125149072
2025-11-01,79.0,32.180392333637585,70.33464724696766
2025-12-01,60.0,41.160051560025195,79.46895048580645
2026-01-01,78.0,47.71878717596851,80.30990122015797
2026-02-01,61.0,110.0851656317954,103.56226218941259
2026-03-01,65.0,420.59292092704425,236.5321451702083
