path,lane,cap,cap_val,val_mape,method
path1,CNSHA,5%,0.05,15.769,approx
path1,CNSHA,10%,0.1,15.528,approx
path1,CNSHA,15%,0.15,15.528,approx
path1,CNSHA,20%,0.2,15.528,approx
path1,CNSHA,25%,0.25,15.528,approx
path1,CNSHA,30%,0.3,15.528,approx
path1,CNSHA,40%,0.4,15.528,approx
path1,CNSHA,50%,0.5,15.528,approx
path1,CNSHA,75%,0.75,15.528,approx
path1,CNSHA,100%,1.0,15.528,approx
path1,CNSHA,uncapped*,9999.0,15.528,approx
path1,JPTYO,5%,0.05,4.436,approx
path1,JPTYO,10%,0.1,3.855,approx
path1,JPTYO,15%,0.15,3.784,approx
path1,JPTYO,20%,0.2,3.784,approx
path1,JPTYO,25%,0.25,3.784,approx
path1,JPTYO,30%,0.3,3.784,approx
path1,JPTYO,40%,0.4,3.784,approx
path1,JPTYO,50%,0.5,3.784,approx
path1,JPTYO,75%,0.75,3.784,approx
path1,JPTYO,100%,1.0,3.784,approx
path1,JPTYO,uncapped*,9999.0,3.784,approx
path1,KRPUS,5%,0.05,5.004,approx
path1,KRPUS,10%,0.1,5.061,approx
path1,KRPUS,15%,0.15,5.061,approx
path1,KRPUS,20%,0.2,5.061,approx
path1,KRPUS,25%,0.25,5.061,approx
path1,KRPUS,30%,0.3,5.061,approx
path1,KRPUS,40%,0.4,5.061,approx
path1,KRPUS,50%,0.5,5.061,approx
path1,KRPUS,75%,0.75,5.061,approx
path1,KRPUS,100%,1.0,5.061,approx
path1,KRPUS,uncapped*,9999.0,5.061,approx
path1,INNSA,5%,0.05,10.772,approx
path1,INNSA,10%,0.1,10.857,approx
path1,INNSA,15%,0.15,11.301,approx
path1,INNSA,20%,0.2,11.301,approx
path1,INNSA,25%,0.25,11.301,approx
path1,INNSA,30%,0.3,11.301,approx
path1,INNSA,40%,0.4,11.301,approx
path1,INNSA,50%,0.5,11.301,approx
path1,INNSA,75%,0.75,11.301,approx
path1,INNSA,100%,1.0,11.301,approx
path1,INNSA,uncapped*,9999.0,11.301,approx
path1,THBKK,5%,0.05,4.657,approx
path1,THBKK,10%,0.1,4.599,approx
path1,THBKK,15%,0.15,4.599,approx
path1,THBKK,20%,0.2,4.599,approx
path1,THBKK,25%,0.25,4.599,approx
path1,THBKK,30%,0.3,4.599,approx
path1,THBKK,40%,0.4,4.599,approx
path1,THBKK,50%,0.5,4.599,approx
path1,THBKK,75%,0.75,4.599,approx
path1,THBKK,100%,1.0,4.599,approx
path1,THBKK,uncapped*,9999.0,4.599,approx
path1,DEHAM,5%,0.05,23.57,approx
