Path,Lane,Current Cap (30%) MAPE,Optimal Cap,Optimal MAPE,Improvement
path1,AEJEA,12.96%,20%,12.96%,+0.00pp
path1,ARBUE,28.20%,25%,28.20%,+0.00pp
path1,AUSYD,20.49%,5%,19.69%,+0.80pp
path1,CNSHA,15.53%,10%,15.53%,+0.00pp
path1,DEHAM,19.92%,20%,19.92%,+0.00pp
path1,GBFXT,26.22%,10%,26.22%,+0.00pp
path1,INNSA,11.30%,5%,10.77%,+0.53pp
path1,JPTYO,3.78%,15%,3.78%,+0.00pp
path1,KRPUS,5.06%,5%,5.00%,+0.06pp
path1,NGLOS,11.21%,5%,10.78%,+0.44pp
path1,NLRTM,34.69%,30%,34.69%,+0.00pp
path1,QAHMD,24.48%,30%,24.48%,+0.00pp
path1,THBKK,4.60%,10%,4.60%,+0.00pp
path1,USLAX,31.01%,20%,30.95%,+0.06pp
path1,USNYC,22.78%,30%,22.78%,+0.00pp
path2,AEJEA,51.41%,10%,46.41%,+5.00pp
path2,ARBUE,27.57%,20%,27.57%,+0.00pp
path2,AUSYD,30.17%,10%,12.01%,+18.17pp
path2,CNSHA,13.82%,5%,13.82%,+0.00pp
path2,DEHAM,19.93%,25%,19.93%,+0.00pp
path2,GBFXT,71.49%,5%,54.54%,+16.95pp
path2,INNSA,51.33%,5%,34.59%,+16.73pp
path2,JPTYO,7.75%,5%,7.74%,+0.01pp
path2,KRPUS,7.96%,5%,7.96%,+0.00pp
path2,NGLOS,9.21%,10%,9.15%,+0.06pp
path2,NLRTM,48.07%,30%,48.07%,+0.00pp
path2,QAHMD,30.12%,30%,30.12%,+0.00pp
path2,THBKK,9.45%,5%,9.45%,+0.00pp
path2,USLAX,39.37%,20%,37.70%,+1.67pp
path2,USNYC,44.16%,10%,40.62%,+3.53pp
