,actual,sarimax_pred,stacked_pred
2022-07-01,104.0,39.527212647250124,39.527212647250124
2022-08-01,104.0,167.14577906784686,167.14577906784686
2022-09-01,64.0,71.0303278717634,71.0303278717634
2022-10-01,52.0,55.867979117386845,55.867979117386845
2022-11-01,63.0,56.20802918059459,56.20802918059459
2022-12-01,53.0,65.75057374399229,65.75057374399229
2023-01-01,47.0,51.515372546912275,43.308500560523115
2023-02-01,45.0,35.28098436313202,37.622095546298524
2023-03-01,40.0,135.56014188612244,123.61548551405212
2023-04-01,32.0,18.00074867908895,19.318790718960166
2023-05-01,32.0,47.66451866912443,44.93521292495329
2023-06-01,35.0,18.831347808652215,21.477753028683953
2023-07-01,35.0,121.65512140557995,85.15858498390597
2023-08-01,32.0,21.210295684977584,14.847206979484309
2023-09-01,32.0,25.587930645657202,17.911551451960044
2023-10-01,32.0,31.923432273559374,22.34640259149156
2023-11-01,39.0,37.1730439166387,26.021130741647088
2023-12-01,39.0,35.352146391660966,24.746502474162675
2024-01-01,43.0,36.61575048861914,39.917019066194825
2024-02-01,45.0,39.909768114453826,40.65858990944055
2024-03-01,51.0,45.48989366485525,37.48326467468191
2024-04-01,47.0,43.69296190944328,45.57798478809013
2024-05-01,40.5,50.42030881459769,45.31079028661307
2024-06-01,47.0,44.9786785303626,48.524512118009085
2024-07-01,62.0,48.05040134933687,45.26998486068941
