,actual,sarimax_pred,stacked_pred
2022-06-01,157.0,164.3428469888914,164.3428469888914
2022-07-01,156.0,75.99395810872502,75.99395810872502
2022-08-01,137.0,191.913667598421,191.913667598421
2022-09-01,119.0,80.62548915962587,80.62548915962587
2022-10-01,98.0,75.03135371181224,75.03135371181224
2022-11-01,70.0,97.71231510502544,97.71231510502544
2022-12-01,65.0,83.93988268514896,109.12184749069365
2023-01-01,57.0,72.55223828040648,50.78656679628454
2023-02-01,41.0,50.48660246863691,35.34062172804584
2023-03-01,37.0,26.289516704932502,18.402661693452753
2023-04-01,30.0,59.98529365448595,41.989705558140166
2023-05-01,27.0,25.172083982164033,17.620458787514824
2023-06-01,23.0,20.578708688532995,14.405096081973095
2023-07-01,23.0,42.4423584820147,29.709650937410288
2023-08-01,21.0,21.67841484038052,15.174890388266363
2023-09-01,25.0,30.70944927585099,21.49661449309569
2023-10-01,25.0,20.737082474365437,14.515957732055806
2023-11-01,27.0,20.21153511336008,14.148074579352055
2023-12-01,28.0,22.26829470810575,15.587806295674024
2024-01-01,32.0,17.925123121236048,21.744087602589808
2024-02-01,46.0,27.837085078848357,19.48595955519385
2024-03-01,46.0,49.699955999573305,39.11711698742731
2024-04-01,46.0,32.94774252972537,23.063419770807755
2024-05-01,33.0,54.44974262048314,38.1148198343382
2024-06-01,33.0,29.00505983579452,37.706577786532876
2024-07-01,39.0,36.2668140318154,47.14685824136002
2024-08-01,48.0,37.23956715509379,48.41143730162192
2024-09-01,71.0,61.16119439937092,79.5095527191822
2024-10-01,62.0,75.32313617179109,97.92007702332842
2024-11-01,66.0,55.04523466900521,38.53166426830364
2024-12-01,54.0,69.45469048331634,48.61828333832144
