,actual,sarimax_pred,stacked_pred
2022-07-01,76.0,67.52892220310935,67.52892220310935
2022-08-01,71.0,96.68531194912573,96.68531194912573
2022-10-01,35.0,20.934142158499235,20.934142158499235
2022-11-01,37.0,49.807344384019075,49.807344384019075
2022-12-01,41.0,27.563052887654326,27.563052887654326
2023-01-01,34.0,84.18236407821603,84.18236407821603
2023-02-01,28.0,20.89821571654267,14.628751001579868
2023-03-01,30.0,59.82212944672101,41.87549061270471
2023-04-01,28.0,6.707253426858122,4.695077398800685
2023-05-01,28.0,75.20534380988134,52.64374066691694
2023-06-01,28.0,6.134928447130608,4.294449912991425
2023-07-01,33.0,81.28284923856106,56.89799446699274
2023-08-01,29.0,17.655517969539684,12.35886257867778
2023-09-01,30.0,97.53696916958465,68.27587841870925
2023-10-01,31.0,7.7715041193247805,5.440052883527347
2023-11-01,35.0,92.36334158803365,64.65433911162356
2023-12-01,32.0,14.856019627269664,10.399213739088765
2024-01-01,34.0,64.79870409326647,84.2383153212464
2024-02-01,31.0,16.810031611334832,11.767022127934382
2024-03-01,35.0,75.77604887910742,53.04323421537519
2024-04-01,33.0,14.62002649706957,10.2340185479487
2024-05-01,28.0,72.00729653267268,50.405107572870875
2024-06-01,31.0,11.914715622778893,8.340300935945224
2024-07-01,75.0,97.54418191711967,68.28092734198377
2024-08-01,60.0,31.80396078163703,22.26277254714592
2024-09-01,53.0,77.87105419438645,54.50973793607051
2024-10-01,28.0,39.629547569184744,27.74068329842932
2024-11-01,33.0,30.665021121808238,21.465514785265768
2024-12-01,49.0,28.70414400111674,20.09290080078172
