,actual,sarimax_pred,stacked_pred
2022-07-01,268.0,250.53563807990534,250.53563807990534
2022-08-01,268.0,264.9951145334983,264.9951145334983
2022-09-01,256.0,279.14966411095196,279.14966411095196
2022-10-01,232.0,275.91773940877096,275.91773940877096
2022-11-01,232.0,220.5174064937709,220.5174064937709
2022-12-01,164.0,239.12148133843704,239.12148133843704
2023-01-01,148.0,152.95510231817477,107.06857162272235
2023-02-01,146.0,174.9312939015904,122.45190573111329
2023-03-01,116.0,108.98318422434635,76.28822895704243
2023-04-01,125.0,123.59568665619521,86.51698065933665
2023-05-01,125.0,125.37057364624985,87.7594015523749
2023-06-01,139.0,129.15400603357548,90.40780422350284
2023-07-01,133.0,179.63561848285963,125.74493293800174
2023-08-01,133.0,124.79263930839299,87.3548475158751
2023-09-01,131.0,130.93066457617442,91.65146520332209
2023-10-01,117.0,119.70253483037436,83.79177438126206
2023-11-01,119.0,123.50635042379635,86.45444529665744
2023-12-01,119.0,82.39607035424075,57.677249247968525
2024-01-01,127.0,114.54401615006768,148.90722099508798
2024-02-01,127.0,134.6011013657194,140.02520224157388
2024-03-01,128.0,98.19451363347821,68.73615954343475
2024-04-01,120.0,143.77230033483946,149.29255065527403
2024-05-01,146.0,115.46604537404818,123.3118576947574
2024-06-01,207.0,176.37841214773135,179.3169418775745
2024-07-01,195.0,203.39203468637126,213.31529156045573
2024-08-01,177.0,197.3749345296836,202.23788008632422
2024-09-01,147.0,174.62486741122848,171.7963087278331
2024-10-01,125.0,123.35698417520103,112.98541454171715
2024-11-01,133.0,123.81115822042057,126.26061753476688
2024-12-01,133.0,126.7031917754666,126.3718507472531
