,actual,sarimax_pred,stacked_pred
2022-06-01,199.0,274.16347454924494,274.16347454924494
2022-07-01,198.0,86.02639821223806,86.02639821223806
2022-08-01,180.0,221.73375181702892,221.73375181702892
2022-09-01,161.0,220.71691816761043,220.71691816761043
2022-10-01,100.0,107.66688277631987,107.66688277631987
2022-11-01,54.0,77.76363440040231,77.76363440040231
2022-12-01,50.0,23.617287378686445,30.702473592292378
2023-01-01,50.0,32.19348642765698,41.85153235595407
2023-02-01,48.0,257.59812986302205,242.63897096562215
2023-03-01,41.0,8.253692130645634,10.729799769839325
2023-04-01,40.0,59.53481947118542,64.32500730687877
2023-05-01,40.0,22.45451961417525,15.718163729922676
2023-06-01,39.0,17.353027424277826,12.147119196994478
2023-07-01,39.0,121.70504003771141,85.19352802639798
2023-08-01,43.0,63.86939703953237,44.708577927672664
2023-09-01,39.0,93.06744352284763,65.14721046599334
2023-10-01,36.0,18.81242832212631,13.168699825488417
2023-11-01,40.0,16.988760044684405,11.892132031279083
2023-12-01,43.0,41.280639444144114,28.89644761090088
2024-01-01,115.0,20.540182112611856,26.702236746395414
2024-02-01,105.0,112.69862577894399,136.2517492530651
2024-03-01,99.0,99.96632584865137,125.32406625087305
2024-04-01,83.0,82.50578853612748,107.25752509696572
2024-05-01,84.5,106.27394851602872,136.99578079141935
2024-06-01,118.0,109.42635037764978,90.4809978233285
2024-07-01,158.0,68.04810045281118,83.10520647087759
2024-08-01,156.0,129.64437756773944,108.46753964659686
2024-09-01,140.0,65.83733080625727,85.58853004813446
2024-10-01,71.0,161.84474533228095,141.54387634424384
2024-11-01,86.0,97.72492483956185,115.19663695198861
2024-12-01,105.0,196.25907554981526,137.3813528848707
