,actual,sar_pred,stk_pred
2025-01-01,33.0,51.36655615624546,35.95658930937182
2025-02-01,32.0,34.17385501470793,33.80604625549544
2025-03-01,28.0,32.15112279724014,28.92382763694656
2025-04-01,26.0,27.85962165140988,25.7654196097839
2025-05-01,26.0,24.82880712250528,26.642905599868865
2025-06-01,31.0,31.00580518555653,32.99217491459858
2025-07-01,32.0,39.82670295149827,37.30740392119432
2025-08-01,32.0,30.40470148574526,29.76145012628252
2025-09-01,37.0,43.04062250715895,35.26589802366896
2025-10-01,31.0,26.821922020791405,26.115499751447075
2025-11-01,31.0,32.78141267366693,30.00630314417169
2025-12-01,28.0,34.254203530269066,32.92698428245107
2026-01-01,28.0,31.21527939897267,29.85789686303822
2026-02-01,27.0,28.320559127185373,29.546330554339917
2026-03-01,27.0,29.921382707225806,30.5649203477974
