,actual,sar_pred,stk_pred
2025-01-01,14.0,13.812159616703148,14.192253042215462
2025-02-01,16.0,13.882932231585077,14.589346633116294
2025-03-01,14.0,14.76864355609696,14.085733471372532
2025-04-01,13.0,14.447452951200848,13.999957282074336
2025-05-01,13.0,11.59760794187175,12.707419486290084
2025-06-01,14.0,13.725168461960392,14.207118923824863
2025-07-01,14.0,13.82144788974998,14.300818722193217
2025-08-01,14.0,13.554012649970138,13.846531057076538
2025-09-01,14.0,15.180707379761554,14.451402768078662
2025-10-01,14.0,13.319958236348944,13.906125393045263
2025-11-01,14.0,14.526811701553935,14.086626631516094
2025-12-01,14.0,12.696558333494178,13.530264354803077
2026-01-01,14.0,14.687483507495044,14.0787946761657
2026-02-01,14.0,14.720368735170444,14.034519366598207
2026-03-01,14.0,14.480688669769666,13.978519597141643
