,actual,sar_pred,stk_pred
2025-01-01,133.0,133.0378496073339,125.39631146417594
2025-02-01,113.0,126.89477694073136,118.59169352093156
2025-03-01,109.0,103.73712707665284,110.58262039330322
2025-04-01,101.0,118.27553563343128,114.11768346057973
2025-05-01,109.0,117.32184935977268,113.87142826487828
2025-06-01,122.0,158.67308841310154,137.34951625428806
2025-07-01,130.0,117.39485088545548,123.11183325011
2025-08-01,134.0,119.47706790086627,121.97284383890032
2025-09-01,122.0,124.05091775214916,124.24302048242336
2025-10-01,106.0,100.92116355443795,108.1925344421943
2025-11-01,106.0,121.00415224762408,113.9740647766158
2025-12-01,102.0,99.88190432871536,100.71266409243302
2026-01-01,98.0,103.37776592259384,104.82302847390152
2026-02-01,98.0,86.45651469703375,100.81201777930914
2026-03-01,114.0,112.6455420535451,114.89690056260882
