,actual,sarimax_pred,stacked_pred
2024-01-01,17.0,16.099753138025655,16.099753138025655
2024-02-01,17.0,18.012713389725526,18.012713389725526
2024-03-01,17.0,16.313843513076776,16.313843513076776
2024-04-01,16.0,15.550635567317052,15.550635567317052
2024-05-01,13.0,16.303854268620697,13.02787880284616
2024-06-01,13.0,16.727366281743855,14.141139580007405
2024-07-01,13.0,15.255985678207805,13.847973049652508
2024-08-01,13.0,14.153720451968153,16.3318148390226
2024-09-01,13.0,12.4020627355286,15.34072001931156
2024-10-01,13.0,12.118872205592544,8.48321054391478
2024-11-01,13.0,12.417221352951971,14.77433852900788
2024-12-01,13.0,11.601046430115122,8.586602317337412
