,actual,sarimax_pred,stacked_pred
2024-01-01,115.0,40.4087033393345,40.4087033393345
2024-02-01,105.0,109.55415978339812,109.55415978339812
2024-03-01,99.0,81.66623913115475,81.66623913115475
2024-04-01,83.0,56.08141626802458,56.08141626802458
2024-05-01,129.0,68.44352837611086,88.97658688894413
2024-06-01,169.0,54.51990784671033,70.87588020072343
2024-07-01,217.0,99.48256083425296,129.32732908452886
2024-08-01,215.0,152.1292849808528,106.49049948659695
2024-09-01,153.0,238.6419197585367,167.0493438309757
2024-10-01,98.0,155.00722754641043,201.50939581033356
2024-11-01,113.0,114.33893367821216,80.03725357474852
2024-12-01,132.0,18.044946561610466,23.458430530093604
