,actual,sarimax_pred,stacked_pred
2024-01-01,117.0,120.24382571114648,120.24382571114648
2024-02-01,125.0,172.04913416974009,172.04913416974009
2024-03-01,119.0,158.85665337255693,158.85665337255693
2024-04-01,95.0,130.61204110917842,130.61204110917842
2024-05-01,96.25,111.18381222953732,77.82866856067614
2024-06-01,126.0,53.12430167883658,37.1870111751856
2024-07-01,167.0,207.22439629818646,145.05707740873052
2024-08-01,138.0,477.9052508627146,334.5336756039002
2024-09-01,179.0,312.1768722500429,218.52381057503004
2024-10-01,115.0,154.11069685319646,107.87748779723752
2024-11-01,115.0,92.66079527495076,64.86255669246553
2024-12-01,96.0,12.669592788715022,8.868714952100515
