,actual,sarimax_pred,stacked_pred
2024-01-01,142.0,68.87725400298139,68.87725400298139
2024-02-01,156.0,153.71141524868284,153.71141524868284
2024-03-01,150.0,189.63212489689562,189.63212489689562
2024-04-01,110.0,120.73717028145505,120.73717028145505
2024-05-01,125.5,154.86290796155546,108.40403557308883
2024-06-01,149.0,114.27751586620369,79.99426110634258
2024-07-01,183.0,151.63972039778756,106.14780427845129
2024-08-01,189.0,269.370879382105,188.5596155674735
2024-09-01,196.0,276.9367834613626,193.8557484229538
2024-10-01,146.0,162.05294143442904,113.43705900410033
2024-11-01,131.0,117.01735444192369,152.12256077450078
2024-12-01,118.0,49.769938967555454,34.83895727728882
