lane,reliability,P1_SAR_MAPE,P2_SAR_MAPE,winner,improvement
AEJEA,Low,14.85,47.62,Path1,-32.8
ARBUE,Medium,35.49,28.88,Path2,6.6
AUSYD,Low,20.96,12.77,Path2,8.2
CNSHA,High,16.69,14.21,Path2,2.5
DEHAM,Low,27.56,21.98,Path2,5.6
GBFXT,Low,26.49,51.65,Path1,-25.2
INNSA,Low,11.34,33.61,Path1,-22.3
JPTYO,High,6.38,6.71,Path1,-0.3
KRPUS,High,6.28,9.66,Path1,-3.4
NGLOS,High,11.51,11.44,Path2,0.1
NLRTM,Low,35.26,50.14,Path1,-14.9
QAHMD,Low,29.39,50.15,Path1,-20.8
THBKK,High,6.24,10.69,Path1,-4.4
USLAX,Low,37.72,41.75,Path1,-4.0
USNYC,Low,28.8,42.36,Path1,-13.6
