lane,fx,p1v1_sar,p1v1_stk,p1v2_sar,p1v2_stk,p2v1_30,p2v1_10,p1_delta,p2_delta
CNSHA,USD/CNY,16.69,15.53,2.34,1.7,13.82,13.82,13.83,0.0
JPTYO,USD/CNY,6.38,3.78,6.24,3.81,7.75,7.75,-0.03000000000000025,0.0
KRPUS,USD/CNY,6.28,5.06,5.88,2.29,7.96,7.96,2.7699999999999996,0.0
INNSA,USD/INR,11.34,11.3,13.57,8.12,51.33,36.06,3.1800000000000015,15.269999999999996
THBKK,USD/CNY,6.24,4.6,4.71,3.28,9.45,9.45,1.3199999999999998,0.0
DEHAM,USD/EUR,27.56,19.92,15.75,12.19,19.93,21.43,7.730000000000002,-1.5
NLRTM,USD/EUR,35.26,34.69,21.73,19.35,48.07,49.45,15.339999999999996,-1.3800000000000026
GBFXT,USD/EUR,26.49,26.22,23.66,27.87,71.49,57.43,-1.6500000000000021,14.059999999999995
USNYC,None (domestic),28.8,22.78,18.49,8.45,44.16,40.62,14.330000000000002,3.539999999999999
USLAX,None (domestic),37.72,31.01,25.45,16.86,39.37,38.58,14.150000000000002,0.7899999999999991
ARBUE,USD/ARS,35.49,28.19,31.83,22.39,27.57,27.93,5.800000000000001,-0.35999999999999943
AEJEA,None (AED pegged),14.85,12.96,14.33,7.09,51.41,46.41,5.870000000000001,5.0
NGLOS,USD/NGN,11.51,11.22,8.91,5.32,9.21,9.15,5.9,0.0600000000000005
AUSYD,USD/AUD,20.96,20.49,10.97,8.17,30.17,12.01,12.319999999999999,18.160000000000004
QAHMD,None (AED pegged),29.39,24.48,9.64,8.0,30.12,41.28,16.48,-11.16
